Elapsedtime,r,g,b,bpm
0:00:00.016995,0,0,0,
0:00:00.040548,0,0,0,74
0:00:00.055545,0,0,0,74
0:00:00.070049,0,0,0,74
0:00:00.085043,0,0,0,74
0:00:00.100055,0,0,0,74
0:00:00.112025,0,0,0,74
0:00:00.125031,0,0,0,74
0:00:00.135772,0,0,0,74
0:00:00.149810,0,0,0,74
0:00:00.162800,0,0,0,74
0:00:00.176766,0,0,0,74
0:00:00.189694,0,0,0,74
0:00:00.203677,0,0,0,74
0:00:00.218764,0,0,0,74
0:00:00.232991,0,0,0,74
0:00:00.247950,0,0,0,74
0:00:00.262142,0,0,0,74
0:00:00.277472,0,0,0,74
0:00:00.291646,0,0,0,74
0:00:00.305687,0,0,0,74
0:00:00.319774,0,0,0,74
0:00:00.333967,0,0,0,74
0:00:00.348178,0,0,0,74
0:00:00.361724,0,0,0,74
0:00:00.375650,0,0,0,74
0:00:00.389675,0,0,0,74
0:00:00.402754,0,0,0,74
0:00:00.416762,0,0,0,74
0:00:00.430724,0,0,0,74
0:00:00.443830,0,0,0,74
0:00:00.456794,0,0,0,74
0:00:00.470813,0,0,0,74
0:00:00.482833,0,0,0,74
0:00:00.494851,0,0,0,74
0:00:00.505863,0,0,0,74
0:00:00.519067,0,0,0,74
0:00:00.532035,0,0,0,74
0:00:00.544242,0,0,0,74
0:00:00.557209,0,0,0,74
0:00:00.570429,0,0,0,74
0:00:00.583393,0,0,0,74
0:00:00.596364,0,0,0,74
0:00:00.609325,0,0,0,74
0:00:00.624285,0,0,0,74
0:00:00.638247,0,0,0,74
0:00:00.652609,0,0,0,74
0:00:00.667758,0,0,0,74
0:00:00.682141,0,0,0,74
0:00:00.695717,0,0,0,74
0:00:00.709838,0,0,0,74
0:00:00.724186,0,0,0,74
0:00:00.739173,0,0,0,74
0:00:00.753158,0,0,0,74
0:00:00.767119,0,0,0,74
0:00:00.782078,0,0,0,74
0:00:00.797916,0,0,0,74
0:00:00.812543,0,0,0,74
0:00:00.827018,0,0,0,74
0:00:00.841509,0,0,0,74
0:00:00.855781,0,0,0,74
0:00:00.870919,0,0,0,74
0:00:00.885959,0,0,0,74
0:00:00.900371,0,0,0,74
0:00:00.914771,0,0,0,74
0:00:00.929021,0,0,0,74
0:00:00.943078,0,0,0,74
0:00:00.958086,0,0,0,74
0:00:00.972405,0,0,0,74
0:00:00.985639,0,0,0,74
0:00:00.999702,0,0,0,74
0:00:01.013698,0,0,0,74
0:00:01.027696,0,0,0,74
0:00:01.041678,0,0,0,74
0:00:01.056637,0,0,0,74
0:00:01.070990,0,0,0,74
0:00:01.085346,0,0,0,74
0:00:01.100334,0,0,0,74
0:00:01.114343,0,0,0,74
0:00:01.128420,0,0,0,74
0:00:01.143585,0,0,0,74
0:00:01.157566,0,0,0,74
0:00:01.172322,0,0,0,74
0:00:01.186284,0,0,0,74
0:00:01.201339,0,0,0,74
0:00:01.216319,0,0,0,74
0:00:01.230302,0,0,0,74
0:00:01.245282,0,0,0,74
0:00:01.259048,0,0,0,74
0:00:01.274149,0,0,0,74
0:00:01.288871,0,0,0,74
0:00:01.302920,0,0,0,74
0:00:01.316139,0,0,0,74
0:00:01.330407,0,0,0,74
0:00:01.344520,0,0,0,74
0:00:01.357987,0,0,0,74
