Frequency (Hz)	Level (dB)
31.250000	-21.972933
62.500000	-23.726120
93.750000	-25.208458
125.000000	-23.487476
156.250000	-24.840998
187.500000	-27.552450
218.750000	-26.699898
250.000000	-24.313942
281.250000	-23.921043
312.500000	-26.210835
343.750000	-29.305075
375.000000	-29.052132
406.250000	-30.366669
437.500000	-29.956833
468.750000	-29.352631
500.000000	-26.734291
531.250000	-27.539185
562.500000	-33.955025
593.750000	-36.537483
625.000000	-35.760681
656.250000	-38.939819
687.500000	-41.182991
718.750000	-41.801586
750.000000	-41.846104
781.250000	-44.062229
812.500000	-45.814365
843.750000	-44.184135
875.000000	-43.590603
906.250000	-45.434811
937.500000	-46.672810
968.750000	-44.922710
1000.000000	-44.195621
1031.250000	-44.916847
1062.500000	-47.960686
1093.750000	-48.041119
1125.000000	-46.342018
1156.250000	-47.766972
1187.500000	-48.890728
1218.750000	-48.610523
1250.000000	-48.595123
1281.250000	-47.588814
1312.500000	-48.247002
1343.750000	-50.682640
1375.000000	-50.146423
1406.250000	-50.259178
1437.500000	-49.442024
1468.750000	-48.017139
1500.000000	-46.643421
1531.250000	-45.765915
1562.500000	-46.497982
1593.750000	-46.125942
1625.000000	-46.161148
1656.250000	-46.092918
1687.500000	-45.912033
1718.750000	-46.472580
1750.000000	-47.778881
1781.250000	-47.986511
1812.500000	-47.298290
1843.750000	-48.020294
1875.000000	-48.184540
1906.250000	-50.387321
1937.500000	-49.841980
1968.750000	-49.418625
2000.000000	-49.637249
2031.250000	-50.933258
2062.500000	-51.356186
2093.750000	-50.976246
2125.000000	-49.895458
2156.250000	-49.975769
2187.500000	-49.250984
2218.750000	-48.992596
2250.000000	-48.462841
2281.250000	-47.825378
2312.500000	-47.474636
2343.750000	-46.454582
2375.000000	-47.528515
2406.250000	-46.316860
2437.500000	-44.850906
2468.750000	-45.190964
2500.000000	-47.277100
2531.250000	-46.743599
2562.500000	-45.625374
2593.750000	-45.757011
2625.000000	-45.309662
2656.250000	-44.273876
2687.500000	-43.697292
2718.750000	-44.360626
2750.000000	-43.642147
2781.250000	-42.374683
2812.500000	-42.990562
2843.750000	-43.993458
2875.000000	-45.668137
2906.250000	-46.624249
2937.500000	-46.921654
2968.750000	-48.308430
3000.000000	-50.148235
3031.250000	-50.561481
3062.500000	-51.104027
3093.750000	-51.210445
3125.000000	-51.396057
3156.250000	-51.541264
3187.500000	-52.787434
3218.750000	-52.072727
3250.000000	-51.568169
3281.250000	-52.647839
3312.500000	-53.958935
3343.750000	-53.549374
3375.000000	-52.327564
3406.250000	-53.196266
3437.500000	-52.692516
3468.750000	-51.705944
3500.000000	-51.326103
3531.250000	-50.382370
3562.500000	-50.761578
3593.750000	-52.982372
3625.000000	-52.351765
3656.250000	-52.290264
3687.500000	-53.826675
3718.750000	-53.808434
3750.000000	-52.453579
3781.250000	-53.749786
3812.500000	-54.842651
3843.750000	-54.892395
3875.000000	-54.933510
3906.250000	-55.754089
3937.500000	-56.675243
3968.750000	-57.598450
4000.000000	-56.993324
4031.250000	-56.285187
4062.500000	-56.770691
4093.750000	-56.669609
4125.000000	-55.477573
4156.250000	-56.295017
4187.500000	-57.008942
4218.750000	-57.679344
4250.000000	-57.496010
4281.250000	-57.298656
4312.500000	-57.721844
4343.750000	-58.837093
4375.000000	-58.740707
4406.250000	-57.900143
4437.500000	-58.229279
4468.750000	-58.491127
4500.000000	-58.163868
4531.250000	-56.160282
4562.500000	-55.048912
4593.750000	-54.633072
4625.000000	-54.538231
4656.250000	-55.362888
4687.500000	-55.316727
4718.750000	-54.976543
4750.000000	-54.417107
4781.250000	-54.474537
4812.500000	-53.869873
4843.750000	-52.696526
4875.000000	-51.387115
4906.250000	-50.586220
4937.500000	-49.046474
4968.750000	-48.717930
5000.000000	-48.711437
5031.250000	-47.509396
5062.500000	-47.958344
5093.750000	-48.627254
5125.000000	-49.366982
5156.250000	-49.111641
5187.500000	-48.563198
5218.750000	-47.993328
5250.000000	-49.009113
5281.250000	-49.441196
5312.500000	-51.238091
5343.750000	-49.904099
5375.000000	-49.296814
5406.250000	-50.971748
5437.500000	-51.615170
5468.750000	-50.537289
5500.000000	-49.749611
5531.250000	-48.986565
5562.500000	-49.872231
5593.750000	-50.588108
5625.000000	-48.822075
5656.250000	-47.182896
5687.500000	-47.208935
5718.750000	-47.501591
5750.000000	-49.975437
5781.250000	-50.507736
5812.500000	-49.800232
5843.750000	-49.835941
5875.000000	-49.569206
5906.250000	-49.823650
5937.500000	-50.814201
5968.750000	-51.046455
6000.000000	-51.605000
6031.250000	-51.980175
6062.500000	-52.656952
6093.750000	-53.461536
6125.000000	-53.055363
6156.250000	-52.569859
6187.500000	-52.863556
6218.750000	-52.323032
6250.000000	-53.178528
6281.250000	-51.947266
6312.500000	-50.732449
6343.750000	-51.109688
6375.000000	-51.248966
6406.250000	-51.577339
6437.500000	-50.556198
6468.750000	-48.425694
6500.000000	-48.083340
6531.250000	-48.710339
6562.500000	-48.063438
6593.750000	-48.254974
6625.000000	-48.251923
6656.250000	-47.727444
6687.500000	-46.722393
6718.750000	-46.074024
6750.000000	-46.546158
6781.250000	-47.141018
6812.500000	-48.423000
6843.750000	-48.786976
6875.000000	-48.504387
6906.250000	-47.905685
6937.500000	-48.147240
6968.750000	-46.934345
7000.000000	-46.762394
7031.250000	-47.123703
7062.500000	-46.524815
7093.750000	-46.451096
7125.000000	-47.338936
7156.250000	-47.056351
7187.500000	-46.809853
7218.750000	-46.841434
7250.000000	-46.843941
7281.250000	-46.361626
7312.500000	-47.585762
7343.750000	-47.935619
7375.000000	-46.858334
7406.250000	-47.032455
7437.500000	-47.704147
7468.750000	-47.198704
7500.000000	-46.548897
7531.250000	-46.672363
7562.500000	-46.537533
7593.750000	-45.749233
7625.000000	-45.321358
7656.250000	-46.481609
7687.500000	-46.592144
7718.750000	-45.999199
7750.000000	-46.685780
7781.250000	-47.968601
7812.500000	-48.867188
7843.750000	-49.460991
7875.000000	-49.136036
7906.250000	-49.887970
7937.500000	-50.651180
7968.750000	-51.265617
8000.000000	-51.027672
8031.250000	-51.505939
8062.500000	-51.679577
8093.750000	-52.033085
8125.000000	-52.636951
8156.250000	-52.449749
8187.500000	-52.840359
8218.750000	-52.170044
8250.000000	-52.252087
8281.250000	-52.886528
8312.500000	-53.837402
8343.750000	-53.575283
8375.000000	-54.400608
8406.250000	-53.422138
8437.500000	-52.319263
8468.750000	-54.183773
8500.000000	-53.789448
8531.250000	-53.611797
8562.500000	-54.435886
8593.750000	-54.898991
8625.000000	-54.493462
8656.250000	-53.519756
8687.500000	-54.825020
8718.750000	-53.643101
8750.000000	-53.204147
8781.250000	-54.126678
8812.500000	-53.767754
8843.750000	-54.135078
8875.000000	-53.397781
8906.250000	-53.707077
8937.500000	-54.068169
8968.750000	-54.640358
9000.000000	-53.231682
9031.250000	-54.308838
9062.500000	-53.715115
9093.750000	-54.352013
9125.000000	-54.513264
9156.250000	-53.542690
9187.500000	-53.680576
9218.750000	-53.435436
9250.000000	-53.349003
9281.250000	-53.974354
9312.500000	-53.101013
9343.750000	-52.648117
9375.000000	-53.053570
9406.250000	-53.080952
9437.500000	-53.736702
9468.750000	-54.007084
9500.000000	-52.355923
9531.250000	-51.871784
9562.500000	-52.489109
9593.750000	-53.078663
9625.000000	-50.898872
9656.250000	-50.758575
9687.500000	-51.320225
9718.750000	-51.344643
9750.000000	-51.766674
9781.250000	-51.620789
9812.500000	-51.621262
9843.750000	-52.372959
9875.000000	-53.273319
9906.250000	-52.765472
9937.500000	-52.598648
9968.750000	-52.159767
10000.000000	-52.999378
10031.250000	-53.841663
10062.500000	-54.313721
10093.750000	-53.590210
10125.000000	-54.809353
10156.250000	-54.999203
10187.500000	-55.632446
10218.750000	-56.073135
10250.000000	-55.922150
10281.250000	-54.722794
10312.500000	-54.569599
10343.750000	-55.535397
10375.000000	-55.047436
10406.250000	-54.476078
10437.500000	-54.675953
10468.750000	-56.048058
10500.000000	-55.448753
10531.250000	-56.491020
10562.500000	-56.350349
10593.750000	-54.793034
10625.000000	-55.716103
10656.250000	-56.028450
10687.500000	-55.878094
10718.750000	-56.152740
10750.000000	-57.498951
10781.250000	-57.715752
10812.500000	-57.484890
10843.750000	-57.518620
10875.000000	-58.090565
10906.250000	-58.384377
10937.500000	-58.612984
10968.750000	-58.254585
11000.000000	-59.030956
11031.250000	-60.640564
11062.500000	-59.896469
11093.750000	-59.920284
11125.000000	-60.386753
11156.250000	-60.754303
11187.500000	-60.793056
11218.750000	-60.071972
11250.000000	-59.368610
11281.250000	-59.061092
11312.500000	-58.820671
11343.750000	-59.245132
11375.000000	-60.158947
11406.250000	-60.014885
11437.500000	-59.734306
11468.750000	-58.246559
11500.000000	-57.453678
11531.250000	-58.178192
11562.500000	-59.078259
11593.750000	-60.162483
11625.000000	-60.467495
11656.250000	-60.568310
11687.500000	-61.225586
11718.750000	-61.172562
11750.000000	-60.222942
11781.250000	-59.831886
11812.500000	-61.043770
11843.750000	-59.156326
11875.000000	-59.208588
11906.250000	-59.201569
11937.500000	-59.886734
11968.750000	-61.464764
12000.000000	-63.146446
12031.250000	-64.655136
12062.500000	-67.759773
12093.750000	-72.376465
12125.000000	-74.584930
12156.250000	-77.220551
12187.500000	-79.311676
12218.750000	-81.376030
12250.000000	-82.716225
12281.250000	-84.218155
12312.500000	-85.569420
12343.750000	-86.217239
12375.000000	-87.886116
12406.250000	-90.176895
12437.500000	-91.695107
12468.750000	-92.003639
12500.000000	-94.897629
12531.250000	-102.608345
12562.500000	-105.641655
12593.750000	-106.573296
12625.000000	-108.263496
12656.250000	-107.442940
12687.500000	-106.747559
12718.750000	-107.559601
12750.000000	-108.486343
12781.250000	-107.872047
12812.500000	-107.448235
12843.750000	-107.793503
12875.000000	-108.517876
12906.250000	-108.229431
12937.500000	-107.900391
12968.750000	-108.539116
13000.000000	-108.799454
13031.250000	-108.318527
13062.500000	-107.963997
13093.750000	-108.222221
13125.000000	-108.837677
13156.250000	-108.699722
13187.500000	-108.324997
13218.750000	-108.632294
13250.000000	-109.081703
13281.250000	-108.803574
13312.500000	-108.646721
13343.750000	-108.943619
13375.000000	-109.204666
13406.250000	-108.758118
13437.500000	-108.358803
13468.750000	-108.536728
13500.000000	-108.781082
13531.250000	-108.859016
13562.500000	-108.667908
13593.750000	-108.791313
13625.000000	-109.061569
13656.250000	-109.026672
13687.500000	-108.785713
13718.750000	-108.841545
13750.000000	-108.843277
13781.250000	-108.903084
13812.500000	-108.954544
13843.750000	-108.747757
13875.000000	-108.653847
13906.250000	-108.947075
13937.500000	-109.250183
13968.750000	-109.210876
14000.000000	-109.086372
14031.250000	-109.103783
14062.500000	-109.065788
14093.750000	-109.124550
14125.000000	-109.036163
14156.250000	-109.011932
14187.500000	-109.040695
14218.750000	-108.923744
14250.000000	-108.995102
14281.250000	-109.175713
14312.500000	-109.053551
14343.750000	-108.806908
14375.000000	-108.924202
14406.250000	-109.054008
14437.500000	-108.672554
14468.750000	-108.830727
14500.000000	-109.062790
14531.250000	-109.094284
14562.500000	-108.825798
14593.750000	-108.876358
14625.000000	-109.172325
14656.250000	-109.061844
14687.500000	-108.931000
14718.750000	-109.063881
14750.000000	-109.217316
14781.250000	-109.021233
14812.500000	-109.052666
14843.750000	-109.255013
14875.000000	-109.171593
14906.250000	-108.995438
14937.500000	-108.914742
14968.750000	-108.880714
15000.000000	-108.869141
15031.250000	-108.937782
15062.500000	-109.075554
15093.750000	-109.280548
15125.000000	-109.142265
15156.250000	-108.810127
15187.500000	-108.806152
15218.750000	-109.038895
15250.000000	-109.234711
15281.250000	-109.090034
15312.500000	-108.909271
15343.750000	-109.153984
15375.000000	-109.175224
15406.250000	-109.030998
15437.500000	-108.924675
15468.750000	-109.287064
15500.000000	-109.130493
15531.250000	-109.122414
15562.500000	-109.094467
15593.750000	-109.102356
15625.000000	-108.959198
15656.250000	-109.042984
15687.500000	-108.898056
15718.750000	-109.076416
15750.000000	-109.042709
15781.250000	-108.974472
15812.500000	-109.068413
15843.750000	-108.901604
15875.000000	-108.995728
15906.250000	-109.014717
15937.500000	-109.088875
15968.750000	-109.230080
